gender,language,age,country,account_type
Male,Swedish,48,United States,maestro
Male,Nepali,24,Russia,maestro
Female,Nepali,22,Russia,americanexpress
Female,Thai,40,China,jcb
Female,Chinese,59,Indonesia,jcb
Female,Luxembourgish,42,Russia,bankcard
Female,Northern Sotho,25,China,jcb
Female,Montenegrin,41,China,visa
Male,Irish Gaelic,38,Norway,jcb
Male,Lithuanian,35,Russia,laser
Male,Tamil,49,Czech Republic,jcb
Male,Kyrgyz,23,China,jcb
Male,Georgian,27,Canada,americanexpress
Female,Assamese,25,Russia,laser
Female,Aymara,26,Iran,bankcard
Female,Portuguese,37,Poland,maestro
Male,Tajik,59,Mexico,jcb
Female,Amharic,19,China,maestro
Male,Fijian,27,China,jcb
Male,Swati,54,China,visa
Male,Fijian,27,Serbia,mastercard
Male,Armenian,31,Czech Republic,jcb
Female,Latvian,41,Sweden,jcb
Female,Hebrew,58,Russia,diners-club-enroute
Male,French,56,Peru,jcb
Female,Oriya,36,Albania,maestro
Male,Zulu,51,Indonesia,jcb
Female,Catalan,27,United States,jcb
Male,Marathi,58,Myanmar,jcb
Male,Latvian,24,Peru,visa-electron
Male,Swahili,55,Poland,visa-electron
Female,Telugu,57,China,jcb
Female,Finnish,32,Sweden,switch
Male,French,51,Indonesia,jcb
Male,Kashmiri,54,China,jcb
Female,Kashmiri,27,Brazil,americanexpress
Male,Japanese,19,Burkina Faso,jcb
Female,Danish,19,Indonesia,mastercard
Female,Japanese,31,Indonesia,mastercard
Male,Malagasy,56,Thailand,jcb
Male,Lao,29,France,diners-club-international
Male,Luxembourgish,60,France,laser
Female,Belarusian,28,Czech Republic,jcb
Male,Korean,23,United States,switch
Female,Maltese,19,Thailand,mastercard
Female,Hungarian,49,Comoros,switch
Female,Georgian,47,Bangladesh,jcb
Male,Georgian,30,China,maestro
Female,Swedish,32,Japan,diners-club-enroute
Male,Kannada,31,Iran,jcb
Female,Kazakh,41,Ireland,jcb
Male,Māori,20,Ukraine,jcb
Female,Somali,46,China,jcb
Male,Kurdish,22,Brazil,jcb
Male,Catalan,44,Vietnam,bankcard
Male,Danish,19,China,jcb
Female,Ndebele,36,Indonesia,diners-club-enroute
Male,Swedish,18,China,maestro
Female,Azeri,28,China,instapayment
Male,Swahili,25,Portugal,jcb
Female,Portuguese,60,Portugal,mastercard
Female,Tamil,55,China,visa
Male,Pashto,51,Indonesia,jcb
Female,Korean,51,Indonesia,diners-club-carte-blanche
Male,Ndebele,57,Spain,jcb
Female,Bislama,60,China,jcb
Female,Aymara,44,Liechtenstein,mastercard
Female,Yiddish,29,Sweden,maestro
Female,Swedish,52,China,mastercard
Female,Malay,57,Poland,visa-electron
Male,Guaraní,51,Philippines,bankcard
Male,Marathi,47,Kazakhstan,americanexpress
Female,Telugu,41,Czech Republic,visa-electron
Female,Sotho,28,China,bankcard
Female,Dari,27,Russia,maestro
Male,Catalan,39,China,jcb
Male,Dhivehi,21,China,bankcard
Male,Swahili,35,Indonesia,maestro
Male,Bengali,46,Indonesia,bankcard
Male,Polish,18,China,maestro
Female,Swati,23,Poland,jcb
Female,Māori,35,Indonesia,diners-club-enroute
Female,Pashto,25,Poland,jcb
Male,Khmer,47,Slovenia,diners-club-enroute
Male,Moldovan,29,Poland,bankcard
Female,Māori,42,Vietnam,visa-electron
Female,Yiddish,18,Brazil,jcb
Male,Afrikaans,41,France,jcb
Male,Bulgarian,36,Canada,jcb
Female,Hungarian,26,Greece,maestro
Female,Croatian,27,Macedonia,visa-electron
Male,Albanian,19,Philippines,jcb
Female,Norwegian,52,China,diners-club-carte-blanche
Female,Kannada,24,Indonesia,visa-electron
Female,Swedish,28,Thailand,jcb
Female,Gagauz,47,France,jcb
Male,Lao,30,Russia,jcb
Female,Bengali,19,China,china-unionpay
Female,Somali,24,Sweden,visa-electron
Male,Yiddish,56,Sweden,switch
Female,Sotho,47,Philippines,jcb
Male,Croatian,21,China,visa-electron
Female,Bislama,23,Brazil,jcb
Female,Azeri,51,Marshall Islands,jcb
Female,Indonesian,18,Yemen,diners-club-us-ca
Female,Hiri Motu,50,Peru,jcb
Male,Hebrew,56,Philippines,visa-electron
Male,Bengali,20,Nicaragua,switch
Female,Quechua,38,Cambodia,mastercard
Female,Maltese,23,Russia,jcb
Male,Irish Gaelic,31,Portugal,jcb
Female,Afrikaans,47,Germany,maestro
Male,West Frisian,28,Sweden,visa
Male,Māori,25,China,jcb
Female,Gujarati,21,Nigeria,maestro
Female,Telugu,56,Argentina,instapayment
Female,Marathi,21,Poland,diners-club-carte-blanche
Male,Persian,49,Macedonia,jcb
Female,Marathi,29,Philippines,china-unionpay
Female,Indonesian,50,Indonesia,jcb
Male,Filipino,30,Kenya,jcb
Female,Montenegrin,19,Marshall Islands,mastercard
Male,Bislama,41,Ethiopia,jcb
Male,Malayalam,50,Canada,solo
Male,Kazakh,45,Ukraine,jcb
Female,Tswana,55,China,switch
Female,Kurdish,33,Bermuda,jcb
Female,Kashmiri,53,Portugal,jcb
Female,Bengali,53,Peru,bankcard
Male,Burmese,30,China,jcb
Male,Nepali,39,China,diners-club-us-ca
Male,Hiri Motu,41,United States,diners-club-international
Male,Dutch,51,Cameroon,jcb
Female,Korean,60,Thailand,diners-club-carte-blanche
Female,Kyrgyz,49,Russia,jcb
Male,Tajik,45,China,jcb
Female,Latvian,57,Indonesia,jcb
Male,Irish Gaelic,26,China,jcb
Female,West Frisian,25,China,jcb
Male,Armenian,49,Vietnam,jcb
Female,Pashto,39,Mexico,switch
Female,Japanese,18,Finland,jcb
Male,Georgian,36,Russia,jcb
Female,New Zealand Sign Language,23,Brazil,jcb
Female,Tajik,53,China,diners-club-carte-blanche
Female,Luxembourgish,50,Serbia,mastercard
Male,Somali,37,Croatia,mastercard
Female,Chinese,26,Philippines,visa-electron
Female,Māori,22,Brazil,instapayment
Female,West Frisian,19,Palestinian Territory,jcb
Male,Māori,37,Russia,mastercard
Female,Catalan,54,Philippines,mastercard
Female,New Zealand Sign Language,23,Gambia,jcb
Female,Kyrgyz,57,Thailand,visa-electron
Female,Georgian,60,Brazil,china-unionpay
Male,Spanish,46,Finland,diners-club-enroute
Female,Japanese,27,South Africa,jcb
Male,Kashmiri,48,China,jcb
Male,Armenian,37,Argentina,maestro
Female,Catalan,52,Ukraine,switch
Male,Portuguese,33,Peru,diners-club-enroute
Female,Oriya,46,China,mastercard
Male,Portuguese,51,China,jcb
Female,Burmese,24,Djibouti,instapayment
Female,Irish Gaelic,29,China,jcb
Female,Tsonga,22,Canada,mastercard
Male,Khmer,21,Indonesia,laser
Male,Catalan,42,Bulgaria,maestro
Female,Japanese,24,France,jcb
Male,Hungarian,46,Czech Republic,americanexpress
Female,Hindi,60,Japan,maestro
Female,Kashmiri,21,Equatorial Guinea,jcb
Female,Georgian,23,Tanzania,jcb
Female,Finnish,35,Canada,china-unionpay
Female,Malayalam,53,Poland,diners-club-enroute
Male,Kashmiri,38,Philippines,china-unionpay
Female,Dzongkha,46,Ukraine,diners-club-carte-blanche
Female,Estonian,22,Indonesia,mastercard
Female,Punjabi,22,China,china-unionpay
Female,Irish Gaelic,47,Brazil,china-unionpay
Male,Czech,21,Indonesia,visa
Male,Dzongkha,35,Portugal,jcb
Female,Marathi,48,South Korea,jcb
Male,Assamese,33,France,switch
Male,Swati,20,France,jcb
Male,Tsonga,20,Ukraine,maestro
Female,Malay,49,China,americanexpress
Female,Kazakh,36,Czech Republic,jcb
Female,Czech,43,China,jcb
Female,Sotho,28,China,mastercard
Male,Northern Sotho,21,Republic of the Congo,maestro
Male,Tswana,34,Russia,jcb
Male,French,56,China,jcb
Female,Tsonga,32,Brazil,jcb
Male,Bislama,44,Panama,diners-club-carte-blanche
Female,Kurdish,23,United States,switch
Female,Thai,19,Indonesia,mastercard
Male,Malay,47,South Korea,instapayment
Male,Nepali,25,China,visa-electron
Male,Estonian,35,Denmark,instapayment
Male,Tok Pisin,23,Bulgaria,jcb
Female,Portuguese,18,Saint Kitts and Nevis,jcb
Male,Bislama,53,Poland,bankcard
Female,Tetum,34,China,americanexpress
Male,Latvian,55,Portugal,jcb
Male,West Frisian,26,Thailand,diners-club-enroute
Male,Hebrew,56,Brazil,jcb
Female,Danish,36,Mexico,jcb
Female,Dutch,57,Syria,mastercard
Male,Latvian,50,Indonesia,jcb
Female,Arabic,26,Poland,jcb
Male,Dari,49,Indonesia,mastercard
Female,Kurdish,19,Colombia,bankcard
Male,Kurdish,22,Portugal,americanexpress
Female,Bulgarian,40,China,laser
Female,Mongolian,28,Uganda,jcb
Female,Hiri Motu,45,Indonesia,americanexpress
Male,Croatian,30,China,diners-club-enroute
Female,Italian,54,Portugal,jcb
Male,Dari,22,China,jcb
Female,Malay,59,Indonesia,jcb
Male,Tok Pisin,29,Vietnam,maestro
Female,Tamil,57,United States,switch
Male,Kyrgyz,25,China,jcb
Male,Fijian,46,Peru,jcb
Male,Persian,41,Ukraine,mastercard
Male,Guaraní,30,United States,maestro
Male,Punjabi,55,Indonesia,solo
Female,Latvian,60,Brazil,mastercard
Female,Lithuanian,55,Brazil,jcb
Female,Georgian,23,Iran,jcb
Female,Tsonga,60,Chile,switch
Female,Dutch,35,Indonesia,solo
Male,Lithuanian,24,Indonesia,jcb
Female,Sotho,22,Democratic Republic of the Congo,jcb
Male,Luxembourgish,58,Cambodia,diners-club-carte-blanche
Female,Chinese,31,China,jcb
Female,Swahili,40,Norway,jcb
Male,Catalan,39,Peru,jcb
Male,Dari,52,Russia,jcb
Male,Bulgarian,25,Portugal,mastercard
Female,Kazakh,41,Colombia,jcb
Female,Macedonian,51,Mexico,bankcard
Male,Swahili,57,Argentina,switch
Male,Northern Sotho,40,Japan,diners-club-carte-blanche
Female,Dutch,54,Serbia,maestro
Female,Italian,25,Philippines,jcb
Male,Finnish,45,China,jcb
Male,Korean,43,Brazil,visa-electron
Female,Bengali,39,New Caledonia,americanexpress
Male,Malay,42,Poland,jcb
Male,English,56,Peru,jcb
Male,Spanish,50,Indonesia,switch
Male,Swahili,18,China,jcb
Female,Tok Pisin,57,Azerbaijan,mastercard
Female,Persian,21,Indonesia,maestro
Female,West Frisian,28,Russia,maestro
Male,Lao,59,Portugal,instapayment
Female,Zulu,50,United States,jcb
Female,Oriya,53,Greece,laser
Male,Hindi,54,Portugal,mastercard
Female,New Zealand Sign Language,31,China,jcb
Female,English,50,Indonesia,jcb
Female,Gagauz,46,North Korea,mastercard
Male,Zulu,40,China,jcb
Male,Chinese,26,Luxembourg,jcb
Male,Mongolian,44,China,jcb
Male,Māori,35,Nigeria,bankcard
Male,Somali,53,Croatia,mastercard
Female,Zulu,26,Indonesia,jcb
Female,English,40,Bulgaria,maestro
Female,Khmer,25,Portugal,jcb
Male,Romanian,56,France,jcb
Male,Azeri,27,Democratic Republic of the Congo,maestro
Male,English,25,Greece,jcb
Male,Irish Gaelic,49,Poland,maestro
Female,Ndebele,47,Iran,mastercard
Female,Tajik,59,Mexico,maestro
Male,Hebrew,37,China,jcb
Male,English,53,Venezuela,jcb
Female,Tok Pisin,50,Indonesia,diners-club-enroute
Female,Finnish,58,Ireland,bankcard
Male,Haitian Creole,37,Slovenia,jcb
Female,Estonian,19,China,switch
Male,Persian,20,Ukraine,jcb
Female,Mongolian,21,Sweden,maestro
Female,Dutch,49,Philippines,jcb
Female,Guaraní,46,Thailand,jcb
Female,Swedish,41,France,jcb
Female,Thai,45,United Kingdom,mastercard
Male,Armenian,56,China,maestro
Female,Finnish,19,Peru,mastercard
Female,Korean,23,Philippines,maestro
Female,Sotho,27,United States,jcb
Female,Bengali,19,China,diners-club-carte-blanche
Male,Luxembourgish,52,Portugal,visa-electron
Female,Bosnian,26,Honduras,jcb
Female,Guaraní,34,Indonesia,maestro
Female,Moldovan,44,Belarus,jcb
